REGISTRE;F1;P1;P1A;P1B;P2;P2A;P2B;P3;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P4_9;P4_10;P4_11;P4_12;P4_95;P4_98;P4_99;P5A;P5B;P5C;P5D;P5E;P5F;P5G;P5H;P5I;P5J;P5K;P5L;P5M;P5N;P5O;P5P;P5Q;P5R;P6;P7;P8;ID0;ID1;ID2;ID3;ID4_1;ID4_2;ID5;ID5_1;ID6;ID7;USU;RFD_GB;POND
56;1;1;1; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;1;2;1;2;2;1;2;2;2;2;1;2;2;2;3;2;2;5;5;2;19;1;1; ;5;3;3;104,5;,78
57;1;1;2; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;3;2; ;2;5;5;2;59;5;1; ;1;5;4;104,5;,78
58;1;1;2; ;1;1; ;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;1;1;1;2;2;2;1;2;2;1;2;3;3;2;2;5;5;2;20;1;1; ;2;4;2;104,5;,78
59;1;1;1; ;1;1; ;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;1;1;2;1;2;1;2;2;1;1;1;2;1;3;2;3;2;5;5;2;46;4;1; ;4;3;3;104,5;,78
61;1;1;2; ;1;1; ;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;1;1;1;1;1;1;2;2;1;1;2;2;1;2;3;2;2;5;5;2;34;2;1; ;1;3;2;104,5;,78
62;1;1;1; ;1;1; ;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;1;1;1;2;1;1;1;2;2;2;1;1;3;2;2;5;5;2;19;1;1; ;5;2;1;104,5;,78
63;1;1;1; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;2;2;1;2;2;1;1;1;2;1;3;2;2;2;5;5;2;32;2;3;250;1;3;3;104,5;,78
64;1;1;2; ;1;1; ;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;2;2;1;1;2;5;5;1;30;2;3;484;1;5;2;104,5;,78
65;1;1;1; ;1;1; ;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;1;1;1;1;2;1;2;2;2;2;2;3;1;2;5;5;2;49;4;3;826;1;5;3;104,5;,78
66;1;1;2; ;1;1; ;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;2;3;1; ;2;5;5;2;49;4;1; ;1;3;3;104,5;,78
67;1;1;2; ;2; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;5;5;1;73;6;1; ;3;4;6;104,5;,78
68;1;1;1; ;1;1; ;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;1;2;1;1;2;2;1;2;2;2;2;2;2;2;3; ;2;5;5;2;45;4;1; ;1;5;3;104,5;,78
69;1;1;2; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;1;1;1;1;2;1;2;2;2;1;2;2;2;2;2;1;2;5;5;1;21;1;1; ;5;3;3;104,5;,78
70;1;1;2; ;1;1; ;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;2;5;5;1;43;3;1; ;1;5;1;104,5;,78
71;1;1;1; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;2;1;2;2;1;2;2;2;1;2;2;2;2;1;2;2; ;2;5;5;1;35;3;1; ;1;5;3;104,5;,78
